Scenario,MAE,Runtime_s,Energy_kWh,CO2e_kg,picked_region,picked_utc_hr,CO2_Reduction_%
Baseline,0.9999933596502782,0.0418243408203125,1.1617872450086806e-06,1.975038316514757e-07,,,0.0
Optimized,0.6389454172165561,0.026669979095458984,7.408327526516385e-07,1.2594156795077857e-07,EU_NORTH,,36.23335461510396
